0.15969492831537802 0.9606441915216087 0.9253402217741935

____________11_____________44411 .............1..............4..1
____________333__4400000________ .............3....4.0...........

_________33___4400000___________ .........3....4.0...............

______33___4400000______________ ......3....4.0..................

__333___4400000_________________ ...3....4.0.....................

33___440__0_____________________ 3....4.0........................

__400___________________________ ..4.0...........................

0__0_________________________333 0...............................

____________________________1111 .............................1..

_________________________11_____ ..........................1.....

_____________________111_______4 ......................1.........

__________________11___________4 ...................1............

_______________11___________4444 ................1............4..

____________11___________4444___ .............1............4.....

_________11__________4444_______ ..........1............4........

______1___________4444__________ ......1............4............

___1____________444_____________ ...1............4...............

11__________44444___________000_ 1............4................0.

__________4444____________000___ ..........4................0....

_______44______________000______ .......4................0.......

___44_______________00__________ ...4................0...........

44______________00______________ 4................0..............

_____________00_________________ ..............0.................

__________00____________________ ...........0....................

_______00_______________________ ........0.......................

____0___________________________ ....0...........................

_0______________________________ .0..............................

_____________________________333 ..............................3.

__________________________333___ ...........................3....

_______________________33____444 .......................3.......4

____________________33____444___ ....................3.......4...

_________________33____444______ .................3.......4......

_0___________333____4444________ ..............3.......4.........

__________333____4444___________ ...........3.......4............

_______33_____4444______________ .......3.......4................

____33_____44_4_________________ ....3.......4...................

_33_____44______________________ .3.......4......................

______44________________________ ......4.........................

___40___________________________ ...4............................

________________________________ ................................

_____________________________222 ...............................2

__________________________2222__ ...........................2....

_______________________222___440 ........................2.....40

____________________222____44000 .....................2.....40...

_________________222____400_____ ..................2.....40......

______________222___4400________ ...............2.....40.........

___________222___400____________ ...........2.....40.............

________22___4400_______________ ........2.....40................

_____22____400__________________ .....2.....40...................

__2_____400_____________________ ..2.....40......................

_____40_________________________ .....40.........................

_400____________________________ .40.............................

________________________________ ................................

________________________________ ................................

________________________________ ................................

________________________________ ................................

________________________________ ................................

________________________________ ................................

________________________________ ................................

0__0____________________________ 0...............................

________________________________ ................................

1___________4444________________ ..............4.................

__________440___________________ ...........4....................

______440_______________________ ........4.......................

__4__40_________________________ .....4..........................

__40____________________________ ..4.............................

____________________________0000 .............................0..

_________________________0000___ ..........................0.....

_____________________000________ .......................0........

__________________0000__________ ....................0...........

________________000_____________ .................0..............

_____________00_________________ .............0..................

_____33___00____________________ ..........0.....................

0______0________________________ .......0........................

00_00_______________________3333 ....0..........................3

00________________________333334 .0..........................3...

_______________________3333_4403 ........................3....4..

____________________3333_4441333 .....................3....4.....

_________________3333_4401______ ..................3....4........

______________3333_4440_________ ...............3....4...........

___________3333_4440____________ ............3....4..............

_______333___440________________ ........3....4..................

_____3333_444___________________ .....3....4.....................

__3333_444______________________ ..3....4........................

_3__444_________________________ ....4...........................

_44_____________________________ .4..............................

________________________________ ................................

___________________________00001 .............................0..

_________________________0000___ ..........................0.....

_____________________0000_______ .......................0........

__________________0000__________ ...................0............

________________000_____________ ................0...............

0____________00_________________ .............0..................

0_________00____________________ ..........0.....................

______00________________________ .......0........................

0__00___________________________ ...0............................

00______________________________ 0...............................

______________________2222_____4 ........................2.......

___________________222_____40000 ....................2.......40..

________________222_____44000000 .................2.......40.....

_____________222____44000_______ ..............2.......40........

__________222_____4000__________ ...........2.......40...........

_______22______4000_____________ ........2.......40..............

____22______400_________________ ....2.......40..................

222_____44000___________________ .2.......40.....................

_____4400_______________________ ......40........................

40_40___________________________ ...40...........................

40______________________________ 40..............................

_____________________________111 ..............................1.

__________________________11____ ...........................1....

______________________11_______4 ........................1.......

___________________11_______40__ ....................1........4..

________________11_______44_____ .................1........4.....

_____________11_______44________ ..............1........4........

_________111______444___________ ...........1........4...........

______11_______444______________ ........1........4..............

___11_______444_________________ ....1........4..................

11________44____________________ .1........4.....................

______444_______________________ .......4........................

____44__________________________ ....4...........................

444___________________________00 .4.............................0

__________________________000___ ...........................0....

_______________________000______ ........................0.......

____________________000_____111_ .....................0.......1..

_________________000_____111____ ..................0.......1.....

_____________________22222______ .......................2........

__________________2222_______400 ....................2.........40

_______________2222_______4400__ .................2.........40...

____________2222_______4000_____ ..............2.........40......

_________2222______400__________ ..........2.........40..........

______2222______4400____________ .......2.........40.............

__2222_______4000_______________ ....2.........40................

_22_______4400__________________ .2.........40...................

_______440______________________ ........40......................

____400_________________________ ....40..........................

_40_____________________________ .40.............................

_______________________________3 ................................

___________________________2222_ .............................2..

________________________2222____ .........................2......

_____________________2222______4 ......................2.........

__________________2222______4400 ...................2.........40.

_______________2222______44000__ ................2.........40....

____________2222______44000_____ .............2.........40.......

_________222______4400__________ .........2.........40...........

_____222________400_____________ ......2.........40..............

__222_______4400________________ ...2.........40.................

22________4000__________________ 2.........40....................

2______40000____________________ .......40.......................

___40_400_______________________ ...40...........................

40______________________________ 40..............................

________________________________ ................................

______________________________11 ................................

______________________________33 ................................

_____________________________1_3 ................................

___________________________33333 .............................3..

_________________________3333_11 ..........................3....1

______________________3333111133 .......................3....1...

___________________3333_111_____ ....................3....1......

________________3333_111______44 .................3....1........4

____________333__111______4400__ .............3....1........40...

_________333__111______440______ ..........3....1........40......

______333__111______440_________ .......3....1........40.........

___333__111______440____________ ....3....1........40............

_33__111______400_______________ .3....1........40...............

_31________400__________________ ..1........40...................

_______440__________________333_ ........40......................

_____40_________________________ .....40.........................

__40________________________3333 ..40..........................3.

0________________________33333__ 0..........................3....

______________________3333_4400_ .......................3....4...

___________________333__444_____ ....................3....4......

________________333__444________ .................3....4.........

_____________333__444__________1 ..............3....4............

__________333__444______________ ...........3....4...............

______333__444_____________0000_ .......3....4...............0...

___333__444_____________000_____ ....3....4...............0......

_33__444_____________000________ .3....4...............0.........

___44____________0000___________ ...4...............0............

4_____________0000______________ 4...............0...............

____________00__________________ ............0...................

_________00_____________________ .........0......................

_____00_________________________ ......0.........................

___0____________________________ ...0............................

0_____________________________33 0...............................

0_________________________23333_ ............................3...

________________________33332222 .........................3.....2

____________________3333__222222 ......................3.....2...

_________________3333__2222_____ ...................3.....2......

______________3333_2222_______44 ................3.....2........4

______11____________44444_______ .......1.............4..........

___11_____________4444__________ ....1.............4.............

11____________44444_____________ .1.............4................

___________4444_______________22 ............4...................

_________44________________00002 .........4...................0..

____4444________________000_____ .....4...................0......

__40_________________000________ ..4...................0.........

__4_______________000___________ ...................0............

________________00______________ ................0...............

_____________0__________________ .............0..................

__________0_____________________ .........0......................

______0_________________________ ......0.........................

0__0____________________________ ...0............................

0_______________________________ 0...............................

_0___________________________333 ...............................3

__________________________333344 ............................3..4

2_______________________33344400 .........................3..4...

_____________________33344400222 .....................3..4.......

_________________333_4400_222222 ..................3..4........2.

______________333_4400_222222222 ...............3..4........2..2.

___________33344400_222222222224 ............3..4........2..2...4

________33_44400_222222222224442 .........3..4........2..2...40..

____333_44400222222222224400000_ .....3..4........2..2...40......

3333_440__222_22222_44000_______ ..3..4........2..2...40.........

__40____22_22_22_4400___________ ..4........2..2...40............

__2__2__22_2__4400______________ ........2..2...40...............

_22__22_2___400_________________ .....2..2...40..................

_22_22__44000_______________2222 .2..2...40....................2.

_22__400__________________222333 .2...40....................2.33.

__40__________________222233333_ ..40....................2.33...4

0___________________2223333_4400 0....................2.33...40..

________________2223333_4400____ ..................2.33...40.....

_____________222333_4400________ ..............2.33...40.........

__________223333_4400___________ ...........2.33...40............

_______223333_4400______________ ........2.33...40...............

____222333__400_________________ .....2.33...40..................

_223333__400____________________ ..2.33...40.....................

333__400________________________ 33...40.........................

_440________________________2223 ..40............................

0___________________________3333 0.............................3.

_________________________3333___ ...........................3....

_______________________333______ ........................3.......

___________________3333____44444 ....................3........4..

________________333______4444___ .................3........4.....

_____________333______444_______ ..............3........4........

__________333______444__________ ...........3........4...........

_______333______444_____________ ........3........4..............

___333_______4444_______________ ....3........4..................

_33_______444___________________ .3........4.....................

_______44_______________________ .......4........................

_3__44__________________________ ....4...........................

_40__________________________00_ .4............................0.

_________________________000____ ..........................0.....

______________________00________ .......................0........

___________________00___________ ....................0...........

________________00______________ .................0..............

_____________00_________________ ..............0.................

__________00____________________ ..........0.....................

_______0________________________ .......0........................

_0__0___________________________ ....0...........................

_0______________________________ .0..............................

________________________________ ................................

________________________________ ................................

___________________________11111 ............................1...

____________________111_________ .....................1..........

__________________11________4444 ..................1..........4..

______________111________44_____ ...............1..........4.....

__________111________444________ ...........1..........4.........

________11________444___________ ........1..........4............

____11_________444______________ .....1..........4...............

_11_________444______________000 ..1..........4................0.

1________444_____________000____ ..........4................0....

______44______________000_______ ......4................0........

___44______________000__________ ...4................0...........

40______________000_____________ 4................0..............

_____________00_________________ ..............0.................

__________00____________________ ...........0....................

_______00_______________________ .......0........................

_0__0___________________________ ....0...........................

_0__0___________________________ .0..............................

4___________________________1111 ..............................1.

__________________________111___ ...........................1....

_______________________11_______ .......................1........

____________________11________40 ....................1.........40

________________111_______4400__ .................1.........40...

_____________111________400_____ ..............1.........40......

__________111_______4400________ ...........1.........40.........

_______11________400____________ .......1.........40.............

____11_______4400_______________ ....1.........40................

_11________400__________________ .1.........40...................

________400_____________________ ........40......................

_____400________________________ .....40.........................

_400____________________________ .40.............................

________________________________ ................................

________________________________ ................................

________________________________ ................................

________________________________ ................................

________________________________ ................................

00_2____________________________ .0..............................

_______________________________2 ................................

______________________________00 ...............................0

___________________________000_2 ............................0...

________________________000_222_ .........................0......

____________________000_________ .....................0..........

_________________000____________ ..................0.............

_______________00_______________ ...............0................

____________00__________________ ............0...................

_________00_____________________ .........0......................

_____00_________________________ .....0..........................

__0_____________________________ ..0.............................

________________________________ ................................

________________________________ ................................

________________________________ ................................

____________________________1111 ..............................1.

_________________________111____ ..........................1.....

______________________111_______ .......................1........

___________________111_______444 ....................1.........4.

________________111_______444___ .................1.........4....

_____________11_______444_______ ..............1.........4.......

__________11_______444__________ ..........1.........4...........

_______1________444_____________ .......1.........4..............

___11________444________________ ....1.........4.................

_1________444___________________ .1.........4....................

_______44_______________________ ........4.......................

____40__________________________ ....4...........................

_40_____________________________ .4..............................

______________________________00 ...............................0

___________________________00___ ............................0...

____________________000_________ .....................0..........

__________________00____________ ..................0.............

______________000_______________ ...............0................

___________000__________________ ............0...................

________00______________________ .........0......................

_____0__________________________ .....0..........................

_00_____________________________ ..0.............................

________________________________ ................................

________________________________ ................................

_______________________________3 ................................

___0____________________________ ...0............................

________________________________ ................................

____________________0_______1111 ...............................1

__________________________1111__ ...........................1....

_______________________111______ ........................1.......

____________________111______444 .....................1........4.

__________________11______444___ ..................1........4....

_______________11______444______ ...............1........4.......

___________11______444__________ ...........1........4...........

________11______444_____________ ........1........4..............

_____11______444________________ .....1........4.................

__1_______444___________________ ..1........4....................

_______44_______________________ ........4.......................

____44__________________________ ....4...........................

440_____________________________ .4..............................

________________________________ ................................

________________________________ ................................

________________________________ ................................

________________________________ ................................

____________________________0000 ..............................0.

_________________________000____ ..........................0.....

______________________0000___3__ .......................0........

____________________00__________ ....................0...........

________________000_____________ .................0..............

_____________00_________________ ..............0.................

__________00______________000___ ..........0.................0...

____0__0________________000_____ .......0.................0......

_0__0_______________000_________ ....0.................0.........

_0________________00____________ .0.................0............

_______________00_______________ ................0...............

___________000__________________ ............0...................

________00______________________ .........0......................

______0_________________________ ......0.........................

__00____________________________ ...0............................

0_______________________________ 0...............................

__________________________111111 ............................1...

_________________________111____ .........................1......

_____________________111________ ......................1.........

__________________11_________444 ..................1............4

_______________11__________44444 ...............1............4...

____________11__________444_____ ............1............4......

_________11__________444________ .........1............4.........

______1___________444___________ ......1............4............

__11___________444______________ ..1............4................

11__________44__________________ ............4...................

_________44_____________________ .........4......................

______44________________________ ......4.........................

___4____________________________ ...4............................

________________________________ ................................

____________________________1111 ..............................1.

_________________________11111__ ..........................1.....

______________________1111______ .......................1........

___________________1111_________ ....................1...........

________________111_________4444 .................1..............

