2.8690167011753207 0.30274240858912754 0.8814894153225806

____11___________44444_____44___ .....1...........4..............
__4_____________________________ .4......1.......................

_44_____4___________________3340 .....1..........................

_____4___________________3_40000 .1..............................

__________________33__0000040000 ...............................4

___________________00___________ ............................4...

________________000___________1_ ........................4.......

_____________0______________11__ .....................4..........

_____33___0_____________________ ..................4.............

30__33_________________________4 ...............4................

_0_44__________________________4 ............4...................

40_44___________________________ ........4.......................

3444____________________________ .....4..........................

___4____________________________ ..4.............................

________________________________ ................................

__11__________4444______________ ..1..............4..............

1______33__4444_________________ ..............4.................

_____3__4444____________________ ..........4.....................

____44444_______________________ .......4........................

_44444__________________________ ....4...........................

_4_________________________0000_ .4..............................

________________________00______ ................................

____________________0___________ ..............................0.

_______________________________1 ...........................0....

____________________________1___ ........................0.......

__________________________0_____ ....................0...........

__________________22____4440____ .0..............................

____________________________3333 ...............................3

_________________________333__44 ............................3...

______________________333__44___ .........................3.....4

___________________33___4_____33 ......................3.....4...

________________33___________333 ...................3.....4......

____________33___444____________ ...............3.....4..........

_________33___44________________ ............3.....4.............

_____333___44___________________ .........3.....4................

___3_____4______________________ ......3.....4...................

___4____________________________ ...3.....4......................

________________________________ .....4..........................

________________________________ ..4.............................

________________________________ ................................

________________________________ ................................

________________________________ ................................

__40____________________________ .............................1..

_________________________11_____ ..........................1.....

______________________11________ .......................1........

4__________________11________444 ....................1...........

________________11________4444__ ................1.............4.

_____________11________4444_____ .............1.............4....

__________11________444_________ ..........1.............4.......

______11_________444____________ .......1.............4..........

___11________4444_______________ ....1.............4.............

11_________444__________________ 1.............4.................

_________444____________________ ...........4....................

______40________________________ ........4.......................

___4____________________________ .....4..........................

________________________________ ..4.............................

________________________________ ................................

___________________00___________ ...............................0

____________________________11__ ...........................0....

_____________0____________000___ ........................0.......

__________0_________________00__ .....................0..........

________0_______________________ ..................0.............

________________________________ ...............0................

________________________________ ...........0..................1.

___________________________1111_ ........0..................1....

_______________________111______ .....0..................1.......

____________________111________4 ..0..................1..........

_________________11_________4444 ..................1...........4.

______________11___________44444 ..............1...........4.....

__________111___________4444444_ ...........1...........4........

_______11___________44444444444_ ........1...........4...........

____11___________44444_____44___ .....1...........4..............

11____________44444_____________ ..1...........4.................

1___________4444______4_________ ..........4.....................

_________444____________________ .......4......................1.

______44________________________ ....4......................1....

_________4_______________1111___ .4......................1.......

______4_______________111_______ .....................1..........

___________________111________44 .................1..............

____________________________3333 ................................

________________________________ ................................

______3____44___________________ ................................

___________________________22222 ..............................2.

_________________________2222___ ...........................2..4.

______________________2222_44000 .......................2..4...0.

___________________222__4400____ ....................2..4...0....

________________222_4400__0_____ .................2..4...0.......

_____________222_4400___________ ..............2..4...0..........

_________2222_4400______________ ...........2..4...0.............

______222__4400_________________ .......2..4...0.................

___222__440_____________________ ....2..4...0....................

_22__440________________________ .2..4...0.......................

4_440___________________________ .4...0..........................

________________________________ ..0.............................

________________________________ ................................

______________________________33 ................................

___400__________________________ .............................1..

__________________________111___ ..........................1.....

_______________________11_______ .......................1........

____________________11______4400 ...................1........40..

________________11_______4040222 ................1........40.....

_____________11_______440_______ .............1........40........

__________11_______400__________ ..........1........40...........

_______1________400_______222___ .......1........40............1.

____1________440__________111___ ...1........40............1.....

11_______444__________11________ 1........40............1.......4

_______4___________11________404 ......40............1.......4...

___44___________11_________400__ ...40............1.......4...0..

_____________11_________44002222 40............1.......4...0.....

_________11_________4400________ ..........1.......4...0......1..

______11_________4400___________ .......1.......4...0......1.....

___11_________4400______________ ....1.......4...0......1........

111________4400__________11_____ .1.......4...0......1...........

________440__________111_____440 ......4...0......1.............4

______440_________111______400__ ..4...0......1.............40...

____4___________11______400_____ ...0......1.............40......

____________111_____4400_0______ 0......1.............40.........

_________11______4400_0_________ ....1.............40............

______11______400_______________ .1.............40...............

___111_____44040________________ ...........40...................

_11_____40040___________________ ........40......................

____400400______________________ .....40.........................

_40_40__________________________ ..40............................

_________________1111________444 0...............................

_______________11_________4400__ ................................

___________1113________440033333 ................................

_____400__________________3333_4 .............................3..

________________________33331113 ..........................3...4.

_____________________3333_444013 .......................3...4....

__________________3333___4400___ ...................3...4........

______________333____44000______ ................3...4...........

____________333___4400__________ .............3...4..............

________________________________ 0...............................

0____________________________111 ................................

____________________________1111 ................................

___________________________1111_ ..............................1.

________________________111_____ ..........................1.....

_____________________11_______44 .......................1......3.

__________________11_______444__ ....................1......3....

_______________11_______44______ .................1......3....4..

____________11______444_________ ..............1......3....4.....

________111______444____________ ..........1......3....4.........

_____11_______444_______________ .......1......3....4............

_______44444____________________ 0...............................

______4_________________66666666 ................................

________________________66666666 ..............................3.

________________________66666666 ...........................3....

________________________66666666 ........................3.......

________________________66666666 .....................3........4.

______________________6666666666 .................3........4.....

_________666666_____666666666666 ..............3........4......1.

________________________66666666 ...........3........4......1....

___________________________66666 ........3........4......1.......

_________________________66666__ .....3........4......1..........

____________66_________666666664 .3........4......1..............

____________________________44_0 .......4......1.................

__4_____________________________ ....4......1....................

__4_____________________________ .4......1.......................

_44_____4___________________3340 .....1..........................

_____4___________________3_40000 .1..............................

__________________33__0000040000 ...............................4

___________________00___________ ............................4...

________________000___________1_ ........................4.......

_____________0______________11__ .....................4..........

_____33___0_____________________ ..................4.............

30__33_________________________4 ...............4................

_0_44__________________________4 ............4...................

40_44___________________________ ........4.......................

3444____________________________ .....4..........................

___4____________________________ ..4.............................

________________________________ ................................

____11______________444444444_44 ................................

_____111________44444___11______ ..............................2.

___11_________444___111_______44 ...........................2....

__________4444____________44____ ........................2....40.

______________________444__11___ .....................2....40....

__________________4444__________ ..................2....40.......

_______________44444____________ ..............2....40...........

_____________44444______________ ...........2....40..............

__________4444__________________ ........2....40.................

_______4444_______________111___ .....2....40....................

________________________1111____ ..2....40.......................

________________________1111____ ...40...........................

______1_________________11111___ 40..............................

_____1__11_______________111____ ................................

___________11_____44____________ .............................1..

________11_____44__________11___ ..........................1.....

____11_____44__________11_______ ......................1.........

_11______4__________11______444_ ...................1..........40

______44_________11______44_____ ................1..........40...

___44_________11______44________ .............1..........40......

__________11_______44___________ ..........1..........40.........

_______1________4_______________ ......1..........40.............

____1________44_________________ ...1..........40................

_11______44__________________0__ 1..........40...................

______44________________________ ........40......................

___44___________________________ .....40.........................

____40__________________________ .40.............................

________________________________ ..............................3.

_0______________________________ ..........................3....4

________________________________ .......................3....4...

______________________________22 ....................3....4......

_____________________________222 .................3....4.........

______________________________22 ..............3....4............

________________________________ ..........3....4................

________________________________ .......3....4...................

________________________________ ....3....4......................

___________111_________4444_____ .............1........4.........

_______11___________4444________ ..........1........4............

____11___________4444___________ .......1........4...............

_11___________4444______________ ....1........4..................

____________4444________________ .1........4.....................

__________444________________11_ ......4.........................

_______44_________________11111_ ...4............................

____________________________11__ 4...............................

__________________________11111_ ................................

________________________________ ................................

_______________________0________ ..............................0.

________________________________ ...........................0....

________________________________ ........................0.......

____________________________00__ ....................0...........

________________________________ .................0..............

_____________________________1__ ..............0.................

_______________________________3 ...........0....................

_____________________________3__ ........0.......................

_______________________________2 ....0...........................

___________________________0_223 .0..............................

______________________111_______ .0......................1.......

___________________11________444 ....................1...........

________________11_______444____ .................1...........4..

_____________1________444__1____ ..............1...........4.....

_________11_______444___3_______ ...........1...........4........

______11_______44_______________ ........1...........4...........

___11_______444_________________ ....1...........4...............

11_______40_____________________ .1...........4..................

______40________________________ ..........4.....................

________33____444_______________ .......4........................

_____33_____44__________________ ....4...........................

_33_____________________________ 4...............................

_________________________111____ ............................1...

_____________________111________ ........................1.......

___________________11__________4 .....................1..........

________________11__________4444 ..................1............4

____________11___________4444___ ...............1............40..

_________11__________44444______ ............1............40.....

_____1111_________4444__________ ........1............40.........

__11__1________44444____________ .....1............40............

_11__________4444_______________ ..1............40...............

1_________4444__________________ ............40..................

_______444______________________ .........40.....................

____44__________________________ .....40.........................

______________________________11 ..40.........................1..

__________________________1111__ 0.........................1.....

_______________________11_______ .......................1........

______________3_____11______4401 ....................1...........

_________________11_______440__3 ................1..............4

_____________111_______44___3___ .............1..............4...

__________11_______440__33______ ..........1..............4......

_______11_______444_____________ .......1..............4.........

___11_________44________________ ....1..............4............

11________444___________________ 1..............4................

_________4____________________11 ............4...................

___4__4_________________________ .........4.....................1

____________4______________1111_ ......4.....................1...

_______________________11111____ ...4.....................1......

______________________11______11 .....................1..........

________________1__11________111 ..................1...........40

______________111_______________ ...............1...........40...

___________111__________________ ............1...........40......

_________1_______________4000___ .........1...........40.........

____1111____________4444________ .....1...........40.............

________________________________ ......3....40...................

___3____________________________ ...3....40......................

________________________________ 3....40......................2..

________________________________ ..40......................2.....

________________________________ 0......................2.......4

__40____________________________ ...................2.......40...

__________0_________________3333 ................2.......40......

_______0________________________ .............2.......40.........

________________________________ ..........2.......40............

________________________________ .......2.......40...............

_0____2_________________________ ...2.......40...................

__22____________________________ 2.......40......................

_____440________________________ .....40.........................

___40___________________________ ..40............................

________________________________ 0...............................

________________________________ .............................3..

0_40____________________________ ..........................3...40

_____________________________333 .......................3...40...

________________________________ ....................3...40......

________________________________ ................3...40..........

_____3__________________________ .............3...40.............

_3____40________________________ ..........3...40................

__40____________________________ .......3...40...................

________________________________ ....3...40......................

________________________________ 3...40..........................

________________________________ .40.............................

_______________________________3 ................................

_____________________________223 ................................

_______________________________3 ..............................0.

_______________________________3 ...........................0...0

_____________________________111 .0..............................

__________________________33__44 ..............................1.

___________________________11111 ...........................1....

________________________111_____ .......................1........

_____________________11______444 ....................1.........4.

_________________111______440___ .................1.........4....

______________11_______440______ ..............1.........4.......

___________11_______44__________ ...........1.........4..........

_______111_______44_____________ .......1.........4..............

_____11_______44________________ ....1.........4.................

_11_______444___________________ .1.........4....................

_______444______________________ ........4.......................

____444_________________________ .....4..........................

__44____________________________ .4..............................

_00_____________________________ ................................

________________________________ ................................

_____________________________11_ ................................

_________________________111____ ..............................1.

_______________________11_______ ...........................1....

___________________1111_________ .......................1.......4

_________________111________4444 ....................1.......40..

______________111__________4400_ .................1.......40.....

__________1111__________440_____ ..............1.......40........

_______11___________440_________ ...........1.......40...........

____11_1_________440____________ .......1.......40...............

_11_11________4400______________ ....1.......40..................

_11_________400_________________ .1.......40.....................

________440_____________________ ......40........................

_____40_________________________ ...40.........................1.

____________________________1111 0.........................1.....

_______________________111______ .......................1........

____________________11______4400 ....................1........4..

_________________11______44011__ .................1........4.....

____________411_______40________ ..............1........4........

